Membership No  Date Joined  Active  
    53615      2018-3-23    yes   
    50914      2018-12-4    no    
    42055      2019-1-6     yes   
    37240      2017-11-14   yes   
    42490      2020-3-9     yes   
    61667      2019-11-8    no    
    15468      2016-2-9     no    
    94526      2020-2-9     yes   
    62524      2019-9-4     yes   
    22791      2016-7-23    no    
    35735      2017-2-19    yes   
    69665      2015-6-3     yes   
    62046      2015-2-10    yes   
    97170      2019-5-24    yes   
    96225      2015-7-19    no    
    61505      2019-12-20   no    
    90649      2015-7-16    no    
    30842      2015-5-4     yes   
    11126      2015-2-5     yes   
    27638      2016-5-13    no    
