Membership No  Date Joined  Active  
    39854      2016-5-7     no    
    85994      2015-9-5     no    
    23494      2018-10-17   no    
    98517      2018-11-8    no    
    40836      2018-12-10   no    
    45740      2016-6-18    no    
    95701      2020-3-12    no    
    39296      2019-11-2    no    
    61895      2018-2-10    no    
    65322      2017-11-22   no    
    66767      2018-12-17   no    
    35724      2016-6-7     no    
    96810      2017-4-18    no    
    24656      2018-9-16    no    
    34244      2020-11-3    no    
    75347      2015-11-22   no    
