Membership No  Date Joined  Active  
    67715      2016-11-4    yes   
    22371      2016-11-3    yes   
    34544      2015-9-4     yes   
    91077      2019-12-13   yes   
    27731      2015-9-4     yes   
    82337      2018-10-8    yes   
    43511      2018-1-6     yes   
    62235      2018-9-1     yes   
    10525      2017-12-12   yes   
    59067      2020-4-16    yes   
    90927      2018-2-12    yes   
    44667      2015-5-2     yes   
    76295      2016-6-13    yes   
    69316      2017-7-19    yes   
